DEBUG 2018-07-25 12:22:27,609 - pop widget QCheckBox FGC38
DEBUG 2018-07-25 12:22:27,609 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,609 - setting property orientation
DEBUG 2018-07-25 12:22:27,609 - push QFrame line
DEBUG 2018-07-25 12:22:27,609 - pop widget QFrame line
DEBUG 2018-07-25 12:22:27,609 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,609 - setting property text
DEBUG 2018-07-25 12:22:27,609 - push QCheckBox FGCSPARE1
DEBUG 2018-07-25 12:22:27,609 - pop widget QCheckBox FGCSPARE1
DEBUG 2018-07-25 12:22:27,610 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,610 - setting property text
DEBUG 2018-07-25 12:22:27,610 - push QCheckBox FGCSPARE2
DEBUG 2018-07-25 12:22:27,610 - pop widget QCheckBox FGCSPARE2
DEBUG 2018-07-25 12:22:27,610 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,610 - setting property text
DEBUG 2018-07-25 12:22:27,610 - push QCheckBox FGCSPARE3
DEBUG 2018-07-25 12:22:27,610 - pop widget QCheckBox FGCSPARE3
DEBUG 2018-07-25 12:22:27,610 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,610 - setting property text
DEBUG 2018-07-25 12:22:27,610 - push QCheckBox FGCSPARE4
DEBUG 2018-07-25 12:22:27,611 - pop widget QCheckBox FGCSPARE4
DEBUG 2018-07-25 12:22:27,611 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,611 - pop layout QHBoxLayout horizontalLayout_7
DEBUG 2018-07-25 12:22:27,611 - push QHBoxLayout horizontalLayout_8
DEBUG 2018-07-25 12:22:27,611 - setting property text
DEBUG 2018-07-25 12:22:27,612 - push QCheckBox FGC25
DEBUG 2018-07-25 12:22:27,612 - pop widget QCheckBox FGC25
DEBUG 2018-07-25 12:22:27,612 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,612 - setting property text
DEBUG 2018-07-25 12:22:27,612 - push QCheckBox FGC26
DEBUG 2018-07-25 12:22:27,612 - pop widget QCheckBox FGC26
DEBUG 2018-07-25 12:22:27,612 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,613 - setting property text
DEBUG 2018-07-25 12:22:27,613 - push QCheckBox FGC27
DEBUG 2018-07-25 12:22:27,613 - pop widget QCheckBox FGC27
DEBUG 2018-07-25 12:22:27,613 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,613 - setting property text
DEBUG 2018-07-25 12:22:27,613 - push QCheckBox FGC28
DEBUG 2018-07-25 12:22:27,614 - pop widget QCheckBox FGC28
DEBUG 2018-07-25 12:22:27,614 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,615 - setting property text
DEBUG 2018-07-25 12:22:27,615 - push QCheckBox FGC29
DEBUG 2018-07-25 12:22:27,615 - pop widget QCheckBox FGC29
DEBUG 2018-07-25 12:22:27,615 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,616 - setting property text
DEBUG 2018-07-25 12:22:27,616 - push QCheckBox FGC30
DEBUG 2018-07-25 12:22:27,616 - pop widget QCheckBox FGC30
DEBUG 2018-07-25 12:22:27,616 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,616 - pop layout QHBoxLayout horizontalLayout_8
DEBUG 2018-07-25 12:22:27,617 - push QHBoxLayout horizontalLayout_4
DEBUG 2018-07-25 12:22:27,617 - setting property text
DEBUG 2018-07-25 12:22:27,617 - push QCheckBox FGC13
DEBUG 2018-07-25 12:22:27,617 - pop widget QCheckBox FGC13
DEBUG 2018-07-25 12:22:27,617 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,617 - setting property text
DEBUG 2018-07-25 12:22:27,618 - push QCheckBox FGC14
DEBUG 2018-07-25 12:22:27,618 - pop widget QCheckBox FGC14
DEBUG 2018-07-25 12:22:27,618 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,618 - setting property text
DEBUG 2018-07-25 12:22:27,618 - push QCheckBox FGC15
DEBUG 2018-07-25 12:22:27,619 - pop widget QCheckBox FGC15
DEBUG 2018-07-25 12:22:27,619 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,619 - setting property text
DEBUG 2018-07-25 12:22:27,620 - push QCheckBox FGC16
DEBUG 2018-07-25 12:22:27,620 - pop widget QCheckBox FGC16
DEBUG 2018-07-25 12:22:27,620 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,620 - setting property text
DEBUG 2018-07-25 12:22:27,620 - push QCheckBox FGC17
DEBUG 2018-07-25 12:22:27,620 - pop widget QCheckBox FGC17
DEBUG 2018-07-25 12:22:27,620 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,620 - setting property text
DEBUG 2018-07-25 12:22:27,621 - push QCheckBox FGC18
DEBUG 2018-07-25 12:22:27,621 - pop widget QCheckBox FGC18
DEBUG 2018-07-25 12:22:27,621 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,621 - pop layout QHBoxLayout horizontalLayout_4
DEBUG 2018-07-25 12:22:27,621 - push QHBoxLayout horizontalLayout_22
DEBUG 2018-07-25 12:22:27,621 - setting property enabled
DEBUG 2018-07-25 12:22:27,621 - setting property text
DEBUG 2018-07-25 12:22:27,621 - push QCheckBox recon06
DEBUG 2018-07-25 12:22:27,621 - pop widget QCheckBox recon06
DEBUG 2018-07-25 12:22:27,622 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,622 - setting property enabled
DEBUG 2018-07-25 12:22:27,622 - setting property text
DEBUG 2018-07-25 12:22:27,622 - push QCheckBox recon07
DEBUG 2018-07-25 12:22:27,622 - pop widget QCheckBox recon07
DEBUG 2018-07-25 12:22:27,622 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,622 - setting property text
DEBUG 2018-07-25 12:22:27,622 - push QCheckBox recon08
DEBUG 2018-07-25 12:22:27,622 - pop widget QCheckBox recon08
DEBUG 2018-07-25 12:22:27,622 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,622 - setting property enabled
DEBUG 2018-07-25 12:22:27,623 - setting property text
DEBUG 2018-07-25 12:22:27,623 - push QCheckBox recon09
DEBUG 2018-07-25 12:22:27,623 - pop widget QCheckBox recon09
DEBUG 2018-07-25 12:22:27,623 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,623 - setting property enabled
DEBUG 2018-07-25 12:22:27,623 - setting property text
DEBUG 2018-07-25 12:22:27,624 - push QCheckBox recon10
